fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter_urls,officialURL,screen_name,GroupShort,screen_name_lower
Dragoș TUDORACHE,Romania,Renew Europe Group,197665,"Partidul Libertate, Unitate și Solidaritate",NA,https://www.europarl.europa.eu/meps/en/197665,NA,RE,NA
Mihai TUDOSE,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,198183,PRO Romania,NA,https://www.europarl.europa.eu/meps/en/198183,NA,S&D,NA
Milan UHRÍK,Slovakia,Non-attached Members,197763,Kotleba – Ľudová strana Naše Slovensko,NA,https://www.europarl.europa.eu/meps/en/197763,NA,"NA",NA
István UJHELYI,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124705,Magyar Szocialista Párt,https://twitter.com/istvan_ujhelyi,https://www.europarl.europa.eu/meps/en/124705,istvan_ujhelyi,S&D,istvan_ujhelyi
Miguel URBÁN CRESPO,Spain,Confederal Group of the European United Left - Nordic Green Left,131507,PODEMOS,https://twitter.com/MiguelUrban,https://www.europarl.europa.eu/meps/en/131507,MiguelUrban,GUE-NGL,miguelurban
Ernest URTASUN,Spain,Group of the Greens/European Free Alliance,124972,Catalunya en Comú,https://twitter.com/ernesturtasun,https://www.europarl.europa.eu/meps/en/124972,ernesturtasun,Greens–EFA,ernesturtasun
Nils UŠAKOVS,Latvia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197810,"""Saskaņa"" sociāldemokrātiskā partija",NA,https://www.europarl.europa.eu/meps/en/197810,NA,S&D,NA
Viktor USPASKICH,Lithuania,Renew Europe Group,96698,Darbo partija,http://twitter.com/ViktorUspaskich,https://www.europarl.europa.eu/meps/en/96698,http://twitter.com/ViktorUspaskich,RE,http://twitter.com/viktoruspaskich
Inese VAIDERE,Latvia,Group of the European People's Party (Christian Democrats),28617,"Partija ""VIENOTĪBA""",https://twitter.com/inesevaidere,https://www.europarl.europa.eu/meps/en/28617,inesevaidere,EPP,inesevaidere
Adina-Ioana VĂLEAN,Romania,Group of the European People's Party (Christian Democrats),37324,Partidul Naţional Liberal,NA,https://www.europarl.europa.eu/meps/en/37324,NA,EPP,NA
Monika VANA,Austria,Group of the Greens/European Free Alliance,124934,Die Grünen - Die Grüne Alternative,NA,https://www.europarl.europa.eu/meps/en/124934,NA,Greens–EFA,NA
Kathleen VAN BREMPT,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,5729,Socialistische Partij.Anders,NA,https://www.europarl.europa.eu/meps/en/5729,NA,S&D,NA
Tom VANDENDRIESSCHE,Belgium,Identity and Democracy Group,185771,Vlaams Belang,NA,https://www.europarl.europa.eu/meps/en/185771,NA,ID,NA
Geoffrey VAN ORDEN,United Kingdom,European Conservatives and Reformists Group,4513,Conservative Party,NA,https://www.europarl.europa.eu/meps/en/4513,NA,ECR,NA
Johan VAN OVERTVELDT,Belgium,European Conservatives and Reformists Group,125106,Nieuw-Vlaamse Alliantie,NA,https://www.europarl.europa.eu/meps/en/125106,NA,ECR,NA
Kim VAN SPARRENTAK,Netherlands,Group of the Greens/European Free Alliance,197870,GroenLinks,https://twitter.com/kimvsparrentak,https://www.europarl.europa.eu/meps/en/197870,kimvsparrentak,Greens–EFA,kimvsparrentak
Hilde VAUTMANS,Belgium,Renew Europe Group,130100,Open Vlaamse Liberalen en Democraten,https://twitter.com/hildevautmans,https://www.europarl.europa.eu/meps/en/130100,hildevautmans,RE,hildevautmans
Marie-Pierre VEDRENNE,France,Renew Europe Group,197502,Mouvement Démocrate,https://twitter.com/mariepierrev,https://www.europarl.europa.eu/meps/en/197502,mariepierrev,RE,mariepierrev
Kyriakos VELOPOULOS,Greece,European Conservatives and Reformists Group,197747,Elliniki Lusi-Greek Solution,NA,https://www.europarl.europa.eu/meps/en/197747,NA,ECR,NA
